header identifier,digital_origin,language,physical_note,abstract,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_topical 6,subject_topical 7,subject_topical 8,subject_geographic 1,subject_geographic 2,subject_name 1,identifier,object_in_context,item_type,date_text,date_single/start,date_end,date_qualifier,public_note,internet_media_type,form,rights,project_initialArticle,project_title,collection,collection_identifier,name,repository,record_source,title,place_of_origin
heilman_12446,reformatted digital,zxx,.6x magnification,Tulip; Multiple male and female tepals,Tulips | http://id.loc.gov/authorities/subjects/sh85138521,Tepals,Tulipa sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,Tulip_1017,http://kiva.lib.utk.edu/heilman/items/show/12446,still image,2/1/2006,2006-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Tulipa, species indeterminate, 1017",
heilman_13396,reformatted digital,zxx,,Japanese maple; Dancing Peacock; Aconitifolium,Japanese maple | http://id.loc.gov/authorities/subjects/sh85069686,Dancing peacock,Aconitifolium,Acer japonicum | http://aims.fao.org/aos/agrovoc/c_65,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,AcerJaponicum_0062,http://kiva.lib.utk.edu/heilman/items/show/13396,still image,2/1/2009,2009-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acer japonicum, 0062","UT Gardens - Knoxville, TN"
heilman_12441,reformatted digital,zxx,.2x magnification,Tulip; Parrot,Tulips | http://id.loc.gov/authorities/subjects/sh85138521,Tulipa sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Tulip_1022,http://kiva.lib.utk.edu/heilman/items/show/12441,still image,3/12/2007,2007-03-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Tulipa, species indeterminate, 1022",
heilman_12547,reformatted digital,zxx,".29x magnification, Flo Test 07F10, All American Selection, 81",Coneflower,Coneflowers,Rudbeckia sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Rudbeckia_0922,http://kiva.lib.utk.edu/heilman/items/show/12547,still image,7/11/2009,2009-07-11,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rudbeckia, species indeterminate, 0922","UT Gardens - Knoxville, TN"
heilman_13268,reformatted digital,zxx,".9x magnification, Velvia",,Leucanthemum vulgare | http://id.loc.gov/authorities/subjects/sh88002149,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,,Chrysanthemum_0183,http://kiva.lib.utk.edu/heilman/items/show/13268,still image,6/1/1992,1992-06-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Chrysanthemum leucanthemum, 0183",
heilman_12940,reformatted digital,zxx,0.26x magnification,Red-Hot Poker,Red-Hot Poker,Kniphofia sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Kniphofia_0524,http://kiva.lib.utk.edu/heilman/items/show/12940,still image,2/28/2010,2010-02-28,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Kniphofia, species indeterminate, 0524","UT Gardens - Knoxville, TN"
heilman_13033,reformatted digital,zxx,"0.9x magnification, E. flash",Rose of Sharon,Rose of Sharon | http://id.loc.gov/authorities/subjects/sh85060603,Hibiscus syriacus,Seeds | http://id.loc.gov/authorities/subjects/sh85119543,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Hibiscus_0431,http://kiva.lib.utk.edu/heilman/items/show/13033,still image,2/1/2004,2004-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Hibiscus syriacus, 0431","Forest Glen Dr - Knoxville, TN"
heilman_13016,reformatted digital,zxx,0.3x magnification,Shade garden,Gardening in the shade | http://id.loc.gov/authorities/subjects/sh85053100,Hosta sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Hosta_0448,http://kiva.lib.utk.edu/heilman/items/show/13016,still image,6/20/2009,2009-06-20,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Hosta, species indeterminate, 0448","UT Gardens - Knoxville, TN"
heilman_12750,reformatted digital,zxx,.2x magnification,Lotus; Water drop on lotus leaf,Lotus | http://id.loc.gov/authorities/subjects/sh85078460,Nelumbo sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Nelumbo_0721,http://kiva.lib.utk.edu/heilman/items/show/12750,still image,6/12/2006,2006-06-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Nelumbo, species indeterminate, 0721","UT Gardens - Knoxville, TN"
heilman_12529,reformatted digital,zxx,.56x magnification,Coneflower; Cinnamon Bicolor,Coneflowers,Cinnamon bicolor,Rudbeckia sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,Rudbeckia_0940,http://kiva.lib.utk.edu/heilman/items/show/12529,still image,6/12/2008,2008-06-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rudbeckia, species indeterminate, 0940","UT Gardens - Knoxville, TN"
